date,planned_cost,delta_only_emergency_cost,final_soc_kwh,zero_score,selected_score,accepted_search,evaluations
2025-03-12,44066.761079402066,0.0,1659.4848911640177,580.3772723623564,73.51123571681207,True,181
2025-03-13,43503.96365776198,3793.5928309637125,1590.8830672222225,649.2472863571404,111.53943563512989,True,181
2025-03-14,16334.703323977932,0.0,1986.363902619049,-543.8537644987641,-787.9864725657578,True,181
2025-03-15,16318.850872342762,0.0,1409.1898906878318,-549.9348329911919,-795.6362088090407,True,181
2025-03-16,43704.07519687546,0.0,1871.1600485714284,647.1987510335007,94.13898913201163,True,181
2025-03-17,43446.42999186822,0.0,2120.959210555558,753.5725071240283,24.958803980198343,True,181
2025-03-18,42127.66748391758,0.0,1741.9633611111105,746.9956370004162,-46.593741354974405,True,181
2025-03-19,42552.898018872664,0.0,2166.60108452381,662.8879899223199,-151.4015405621161,True,181
2025-03-20,42448.785381508525,0.0,2053.8404544444456,609.6617374917599,-164.679785448778,True,181
2025-03-21,15814.011484576013,0.0,1663.743734100531,-583.2379687547727,-818.7607352092122,True,181
2025-03-22,16462.819450320738,0.0,2409.324153148146,-511.3997226568651,-788.6676644410218,True,181
2025-03-23,40512.45328298023,214.39481765028387,1672.3243005555553,644.645742200386,-27.441940296693588,True,181
2025-03-24,40245.969899338175,0.0,1766.5101204232792,258.3453425057812,-276.53848274624005,True,181
2025-03-25,39672.105256945826,94.07422527619755,1464.9716192592584,178.37576431226432,-428.6646999061827,True,181
2025-03-26,39821.51190105767,0.0,1574.2624242592588,130.0025423211011,-498.3581269879313,True,181
2025-03-27,39759.846682119445,0.0,1678.77780579365,92.48414605943081,-515.2656284881866,True,181
2025-03-28,15621.675879967817,0.0,2143.00245558201,-563.6126177005102,-794.532639325924,True,181
2025-03-29,15114.865200083332,0.0,1808.5099356613796,-547.8075929626482,-794.6731803029467,True,181
2025-03-30,38718.17994827202,0.0,1983.468696746028,5.228844936856011,-580.6048521572508,True,181
2025-03-31,38065.180300545006,361.171790960145,1789.3236434006008,-22.391780686090556,-651.7471005095455,True,181
2025-04-01,38502.31710269481,1827.0283756065583,1725.7540698148148,84.13045114243349,-582.1935872199285,True,181
2025-04-02,38352.39004270695,4523.341935016733,1681.5843444088716,116.43433654845246,-688.8715595470733,True,181
2025-04-03,39156.04005931973,0.0,1841.0615314550278,365.5586348105647,-397.0988666062293,True,181
2025-04-04,14825.332738334637,0.0,1989.1923902116407,-607.2148611827405,-791.4171944194064,True,181
2025-04-05,14923.268893436005,0.0,1778.3154490740735,-611.1641059531543,-798.1308637145871,True,181
2025-04-06,38397.2517841414,0.0,1642.0808344444456,406.3959566981766,-327.5959954658124,True,181
2025-04-07,37947.62746941752,0.0,1683.7453848941816,308.96513519029594,-482.5986289094036,True,181
2025-04-08,38300.05998327366,0.0,1426.5376520370376,298.8271241723526,-508.08360124714585,True,181
2025-04-09,38104.27554194661,3546.1065916590323,1393.894432407407,266.6130353425681,-511.32385119557676,True,161
2025-04-10,38207.59849488984,0.0,1792.7263561375617,366.309185084321,-569.5878015643744,True,181
2025-04-11,14440.49744950259,0.0,1801.779463571425,-590.0142879373971,-793.7840405732502,True,181
2025-04-12,14745.81730006389,0.0,2165.7175074338616,-610.5161170635174,-802.9875653173947,True,181
2025-04-13,36974.547331315225,0.0,1831.5777488888916,360.28964822449694,-634.9352911168244,True,181
