seconds,scenario_count,binary_cells,separation_rounds,solver_status,relative_gap,relaxed_objective,direction_feasible_objective,date,scenario_expected_emergency_cost,scenario_mean_final_soc,max_direction_violation_kwh,method
0.5477006000000983,21,0,0,0,0.0069043170829545,47024.93411645902,47351.86641666941,2025-08-29,1193.109832795297,3801.432363170789,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5691449999940232,21,0,0,0,0.0068827002868189,43242.080172945374,43541.76509203291,2025-08-30,1233.3565756253884,3779.5727961944094,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.534919899997476,21,0,0,0,0.0068040093847193,43215.758329742566,43511.81311451992,2025-08-31,1191.2924651298374,3750.5611839830754,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5190182000005734,21,0,0,0,0.0065214717557797,46930.47878714238,47238.54361511251,2025-09-01,1286.1261561318006,3779.7347397730864,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5172220999957062,21,0,0,0,0.0061201298554042,42982.90189027318,43247.58271240544,2025-09-02,1198.449489331047,4031.495191209215,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5208463999952073,21,0,0,0,0.007778322847885,41795.07622379147,42122.72034184149,2025-09-03,1320.6797987203572,4239.6001312875405,5.684341886080803e-14,fixed_direction_LP_with_global_relaxation_bound
0.4672188999975333,21,0,0,0,0.0075039653743194,40824.56104667766,41133.22333028225,2025-09-04,1319.9356734640903,4399.949847650182,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4278405000004568,21,0,0,0,0.009118171125017,39289.48899611432,39651.03390857657,2025-09-05,1291.853017726976,4409.771405285617,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4088857999959145,21,0,0,0,0.0066995685188934,34764.63771374203,34999.11669413513,2025-09-06,1462.8699456514564,4433.801400654564,2.8421709430404014e-14,fixed_direction_LP_with_global_relaxation_bound
0.4380326000027708,21,0,0,0,0.0077361310786232,33689.123790801976,33951.77920508499,2025-09-07,1420.9366878071717,4478.938549375702,5.684341886080803e-14,fixed_direction_LP_with_global_relaxation_bound
0.4174271000010776,21,0,0,0,0.0106841668798022,36198.52989248498,36589.45776529082,2025-09-08,1188.3470055495734,4534.637932791419,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.3994524999943678,21,0,0,0,0.0048075877831069,37879.89234054191,38062.88299180313,2025-09-09,1036.2572809475043,4533.3514112243765,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.3999298999988241,21,0,0,0,0.0046456360144142,37887.802482784085,38064.63693098628,2025-09-10,790.7169695722407,4522.390034846622,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4174812999990536,21,0,0,0,0.0048250906656791,38300.387792049936,38486.08664950096,2025-09-11,880.7374799309766,4527.187134817989,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.3895830000037676,21,0,0,0,0.0049323490863312,38162.58061950832,38351.74481299591,2025-09-12,965.9772042179362,4518.102309719525,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.3836405000038212,21,0,0,0,0.0048781768731271,34840.22957792275,35011.01952366771,2025-09-13,1030.5939508605445,4520.377183437273,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.3948744000008446,21,0,0,0,0.0049767062621483,34891.71398946602,35066.22830747375,2025-09-14,1000.8218958942056,4527.307459719523,4.263256414560601e-14,fixed_direction_LP_with_global_relaxation_bound
0.431268700005603,21,0,0,0,0.0038061728542179,39397.82631635552,39548.35418849678,2025-09-15,854.6625509794479,4650.780650754798,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4346472000033827,21,0,0,0,0.0051128976835022,38753.23144200605,38952.39103187982,2025-09-16,975.3091857973022,4653.652327494809,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4036564999987604,21,0,0,0,0.0040136126464828,39464.22940845043,39623.26183323922,2025-09-17,870.1247660542294,4704.745029079421,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4676440000039292,21,0,0,0,0.0039031658439549,39195.83033476006,39349.4176376629,2025-09-18,888.1634638548928,4708.04730096201,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4390870999995968,21,0,0,0,0.0052793509861876,39490.61031064257,39700.20160915974,2025-09-19,1174.2127790388415,4720.384456054909,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.3992393000007723,21,0,0,0,0.0051469396653817,35906.94983927223,36092.71687538957,2025-09-20,1181.7728910551832,4747.313006195766,4.5297099404706393e-14,fixed_direction_LP_with_global_relaxation_bound
0.4211748000016087,21,0,0,0,0.0052843648143786,36611.15293864373,36805.6474067705,2025-09-21,1234.9701214650142,4778.000093188712,5.684341886080803e-14,fixed_direction_LP_with_global_relaxation_bound
0.4666358999966178,21,0,0,0,0.0053920183215734,40407.58601921621,40626.645636834095,2025-09-22,1081.1707158620463,4766.888554669747,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4686136999953305,21,0,0,0,0.0055236504194669,41062.76622710512,41290.84240608162,2025-09-23,1126.164577851629,4500.618266437002,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.454205499998352,21,0,0,0,0.0055272901144465,41498.477764677,41729.12675447148,2025-09-24,1278.0580099910608,4266.932398700622,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4682241999980761,21,0,0,0,0.0058128546678775,41513.16370029148,41755.88458893563,2025-09-25,1055.7846636653787,4122.431097757063,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4700714999999036,21,0,0,0,0.0058129830839317,41828.69898429471,42073.2701922077,2025-09-26,998.2956679119528,3986.3970035491234,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5079305999970529,21,0,0,0,0.0060290946277239,38157.46342547845,38388.91381955207,2025-09-27,1021.838545056692,3974.475503855877,5.684341886080803e-14,fixed_direction_LP_with_global_relaxation_bound
0.4778189000062411,21,0,0,0,0.0059648299892263,38427.73993102158,38658.330298922,2025-09-28,1066.782183686802,3923.6028078623417,2.8421709430404014e-14,fixed_direction_LP_with_global_relaxation_bound
0.4738120999973034,21,0,0,0,0.0057118286472357,42611.75294663679,42856.54217193592,2025-09-29,1038.1103987421636,3893.5828330716695,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4724740000019665,21,0,0,0,0.005248897717178,42530.88736624507,42755.30559216504,2025-09-30,1013.5187580192608,3935.655554014024,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4983988000021782,21,0,0,0,0.0048225630052665,42927.5516735215,43135.57570512792,2025-10-01,959.7427448335789,3918.064188266565,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.5114358000064385,21,0,0,0,0.0027601067202967,39838.067516526935,39948.329168329066,2025-10-02,395.45014780724097,4069.585083277853,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4863773999968543,21,0,0,0,0.0028043420020822,38942.39785969822,39051.912778965925,2025-10-03,405.30773056303485,4172.8463485600905,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4703287000011187,21,0,0,0,0.0026643625587743,34784.137328890414,34877.06246829096,2025-10-04,469.3050936282747,4164.91577164142,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4746391000007861,21,0,0,0,0.0027881613571276,34395.96587217349,34492.13551153155,2025-10-05,468.56745372394255,4201.067459899216,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4987073999946005,21,0,0,0,0.0017788539197671,36916.25474037203,36982.040387876994,2025-10-06,348.9346052133656,4277.394896028332,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
0.4789363999952911,21,0,0,0,0.0017762318520778,36653.23772460151,36718.45821965044,2025-10-07,362.0856575666161,4290.076884037322,1.1368683772161605e-13,fixed_direction_LP_with_global_relaxation_bound
